count,temperature,command,error,feedback     
   647,29, 167.00,  -0.76, 166.24
   648,27,  35.50,   1.81,  37.31
   649,27,  22.50,   1.40,  23.90
   650,27,  60.50,   2.12,  62.62
   651,27, 154.50,   0.08, 154.58
   652,29, 135.50,   1.17, 136.67
   653,27, 129.00,   1.28, 130.28
   654,27,  88.50,   2.06,  90.56
   655,27, 112.00,   1.36, 113.36
   656,29, 163.50,  -0.40, 163.10
   657,27,  19.00,   0.77,  19.77
   658,27,  85.50,   2.55,  88.05
   659,27, 106.50,   1.10, 107.60
   660,29, 170.00,  -1.01, 168.99
   661,27, 105.50,   1.97, 107.47
   662,27,  89.50,   2.44,  91.94
   663,29, 116.00,   1.00, 117.00
   664,29, 167.50,  -0.64, 166.86
   665,27,  78.00,   2.28,  80.28
   666,29, 146.50,   0.19, 146.69
   667,28, 101.50,   1.84, 103.34
   668,27, 100.50,   1.96, 102.46
   669,27,  46.00,   1.96,  47.96
   670,27,  10.50,  -0.50,  10.00
   671,27,  66.00,   2.01,  68.01
   672,27,  23.50,   1.40,  24.90
   673,27,  45.00,   1.96,  46.96
   674,27, 143.00,   0.18, 143.18
   675,29, 100.50,   1.96, 102.46
   676,27,  30.50,   1.80,  32.30
   677,29,  52.50,   1.97,  54.47
   678,27,  83.00,   2.05,  85.05
   679,27,  67.50,   2.51,  70.01
   680,27,  70.00,   1.51,  71.51
   681,27,  53.50,   1.98,  55.48
   682,29,  73.00,   2.02,  75.02
   683,29, 133.00,   0.79, 133.79
   684,27,  51.50,   1.97,  53.47
   685,28, 147.00,   0.19, 147.19
   686,28,  60.50,   2.49,  62.99
   687,27,  77.50,   2.03,  79.53
   688,27,  39.00,   1.82,  40.82
   689,29, 130.00,   0.90, 130.90
   690,29, 156.50,   0.09, 156.59
   691,27,  54.00,   2.10,  56.10
   692,27,  66.00,   1.76,  67.76
